開標日期,證券名稱,證券代號,發行市場,發行性質,競拍方式,競拍數量(張),最低投標價格(元),最低每標單投標數量(張),最高投(得)標數量(張),保證金成數(%),每一投標單投標處理費(元),撥券日期(上市、上櫃日期),主辦券商,得標總金額(元),得標手續費率(%),總合格件,合格投標數量(張),最低得標價格(元),最高得標價格(元),得標加權平均價格(元),承銷價格(元),投標最後一天平均成交價,撥券日開盤價,可轉債個股投標最後一天均價
2019/1/4,易發,6425,櫃檯買賣,初上櫃,美國標,"3,414",26.32,1,446,50,400,2019/1/18,福邦,"125,661,580",4,"1,605","31,700",36.05,65,36.81,30,41.13,45.85,
2019/1/3,錸寶科技,8104,集中交易市場,初上市,美國標,"5,415",50,1,744,50,400,2019/1/17,福邦,"391,679,020",4.5,"2,865","32,232",71,84,72.33,60,81.08,80,
2018/12/28,大詠城,4538,櫃檯買賣,初上櫃,美國標,"3,808",12.73,1,486,50,400,2019/1/15,日盛,"73,667,880",4.5,"1,310","29,459",18.42,62.8,19.35,14,22.11,19.4,
2018/12/27,十銓,4967,集中交易市場,初上市,美國標,"5,508",19.3,2,698,50,400,2019/1/14,群益,"150,019,210",4.5,"2,012","46,940",26.3,30.05,27.24,22,30.97,30.3,
2018/12/11,普鴻,6590,櫃檯買賣,初上櫃,美國標,"1,360",16.5,1,180,50,400,2018/12/24,日盛,"30,568,080",4.5,526,"9,191",21.2,31.2,22.48,19.14,25.28,38,
2018/12/11,富林-KY,1341,集中交易市場,第一上市初上市,美國標,"3,959",24.83,1,520,50,400,2018/12/24,中國信託,"145,462,780",4.5,768,"20,694",35.3,39.1,36.74,28.8,,58.1,
2018/12/4,復盛應用,6670,集中交易市場,初上市,美國標,"8,568",100,1,"1,231",50,400,2018/12/18,富邦,"1,157,843,580",4,"1,850","24,319",131,150,135.14,120,153.39,170,
2018/12/3,精湛,2070,櫃檯買賣,初上櫃,美國標,"3,060",27.83,1,392,50,400,2018/12/17,永豐金,"97,508,520",4.5,425,"8,550",30.62,35.11,31.87,31.87,37.78,46,
2018/11/28,中揚光,6668,集中交易市場,初上市,美國標,"5,440",50,2,752,50,400,2018/12/12,元大,"315,757,890",5,527,"8,896",55,70.1,58.04,58,71.82,92,
2018/11/27,三能-KY,6671,集中交易市場,初上市,美國標,"4,859",32.31,2,698,50,400,2018/12/11,兆豐,"201,573,900",4.5,448,"12,939",39.5,45.8,41.48,41.48,,53,
2018/11/21,興能高,6558,集中交易市場,初上市,美國標,"6,936",16.36,1,926,50,400,2018/12/5,富邦,"162,273,050",4.5,"1,012","36,803",22.22,30,23.4,18,27.36,30,
2018/11/14,南寶,4766,集中交易市場,初上市,美國標,"8,127",66.78,1,"1,168",50,400,2018/11/28,富邦,"646,556,750",4.5,879,"19,223",76,90,79.56,76.8,89.04,88,
2018/11/14,鋐寶科技,6674,集中交易市場,初上市,美國標,"4,160",28.32,2,569,50,400,2018/11/28,凱基,"128,280,170",4.5,370,"6,268",29.22,68,30.84,30.84,39.29,31.95,
2018/11/14,科定,6655,集中交易市場,初上市,美國標,"4,129",52,1,526,50,400,2018/11/28,中國信託,"252,640,730",4.5,687,"5,773",55,75.8,61.19,60.32,83.22,60.5,
2018/11/5,公準,3178,櫃檯買賣,初上櫃,美國標,"3,604",25.5,1,460,50,400,2018/11/19,第一金,"106,774,970",4.5,278,"5,586",26.78,34,29.63,29.63,34.02,28.8,
2018/11/5,羅麗芬-KY,6666,集中交易市場,第一上市初上市,美國標,"3,455",110,1,442,50,400,2018/11/19,永豐金,0,4.5,225,"2,165",0,0,0,0,,,
2018/10/30,信紘,6667,櫃檯買賣,初上櫃,美國標,"2,143",33.9,1,277,50,400,2018/11/13,第一金,"79,344,310",4.2,352,"4,473",35,46,37.02,37.02,43.64,37.5,
2018/10/15,誠泰科技,4767,櫃檯買賣,初上櫃,美國標,"1,864",16.22,2,242,50,400,2018/10/29,凱基,"34,454,820",4.5,162,"4,121",17.35,21,18.48,18,21.88,19.05,
2018/10/8,天正國際,6654,櫃檯買賣,初上櫃,美國標,"2,536",65.22,1,326,50,400,2018/10/23,台新,"186,592,210",4.5,417,"4,710",70.25,99,73.58,73.58,85.17,74.5,
2018/10/8,均華,6640,櫃檯買賣,初上櫃,美國標,"1,741",31.25,2,217,50,400,2018/10/23,凱基,"68,858,310",4.5,515,"8,843",38.6,56,39.55,37.5,45.68,37.5,
2018/10/4,上海商銀,5876,集中交易市場,初上市,美國標,"16,000",25.02,2,"2,000",50,400,2018/10/19,華南,"548,976,840",4.5,"2,970","113,100",33.12,39,34.31,32.28,36.8,35,
2018/10/2,天鈺,4961,集中交易市場,初上市,美國標,"12,852",29.2,1,"1,606",50,400,2018/10/17,福邦,"484,658,590",4.5,944,"20,879",34.1,41.22,37.71,33,44.54,36.9,
2018/9/18,科際精密,4568,櫃檯買賣,初上櫃,美國標,"1,877",65.22,2,244,50,400,2018/10/3,永豐金,"166,723,400",4.5,654,"10,356",86.2,95.5,88.82,75,100.63,90.9,
2018/9/7,基士德-KY,6641,集中交易市場,第一上市初上市,美國標,"2,719",62.5,1,365,50,400,2018/9/21,永豐金,"219,225,960",4.5,933,"14,627",78.1,96.96,80.63,75,,85.5,
2018/9/4,達邦蛋白,6578,櫃檯買賣,初上櫃,美國標,"2,380",18.18,2,317,50,400,2018/9/18,永豐金,"57,275,790",4.5,785,"17,424",23.52,27.02,24.07,20,27.3,24,
2018/8/30,群翊,6664,櫃檯買賣,初上櫃,美國標,"3,400",46.22,1,455,50,400,2018/9/12,福邦,"218,048,010",4.5,"1,036","13,434",63.1,69,64.13,55,72.45,65,
2018/8/30,建新國際,8367,集中交易市場,初上市,美國標,"5,531",17.31,2,794,50,400,2018/9/12,凱基,"117,448,990",4.5,668,"19,402",20.62,24,21.23,20.08,23.97,21.4,
